시도코드,시도,시군구코드,시군구,읍면동,읍면동수정,ID,CD,선거인수,투표수,더불어민주당 이재명,국민의힘 윤석열,정의당 심상정,기본소득당 오준호,국가혁명당 허경영,노동당 이백윤,새누리당 옥은호,신자유민주연합 김경재,우리공화당 조원진,진보당 김재연,통일한국당 이경희,한류연합당 김민찬,계,무효 투표수,기권수,,,,,,,,,,,,,std,민주,국힘,정의,기본소득,국가혁명,노동,새누리,신자유,우리공화,진보,통일한국,한류연합,3위
1100,서울특별시,1104,성동구,용답동,용답동,서울특별시_성동구_용답동,1104070,9544,6689,3393,3006,162,4,32,3,0,1,4,5,2,3,6615,74,2855,51.29251701,45.44217687,2.448979592,0.060468632,0.483749055,0.045351474,0,0.015117158,0.060468632,0.07558579,0.030234316,0.045351474,17.95557064,1,2,3,6,4,8,12,11,6,5,10,8,정의
1100,서울특별시,1104,성동구,응봉동,응봉동,서울특별시_성동구_응봉동,1104058,12309,9673,4203,5082,250,5,39,0,0,4,6,3,3,1,9596,77,2636,43.79949979,52.95956649,2.605252188,0.052105044,0.406419341,0,0,0.041684035,0.062526053,0.031263026,0.031263026,0.010421009,18.02022353,2,1,3,6,4,11,11,7,5,8,8,10,정의
1100,서울특별시,1104,성동구,행당제1동,행당1동,서울특별시_성동구_행당1동,1104056,11647,9172,3732,5021,264,2,36,2,1,2,7,5,1,4,9077,95,2475,41.11490581,55.31563292,2.908449928,0.022033712,0.396606808,0.022033712,0.011016856,0.022033712,0.077117991,0.055084279,0.011016856,0.044067423,18.08671334,2,1,3,8,4,8,11,8,5,6,11,7,정의
1100,서울특별시,1104,성동구,행당제2동,행당2동,서울특별시_성동구_행당2동,1104057,17334,13587,5828,7167,375,8,63,3,1,5,10,10,1,7,13478,109,3747,43.24083692,53.17554533,2.782311916,0.059355988,0.467428402,0.022258495,0.007419498,0.037097492,0.074194984,0.074194984,0.007419498,0.051936489,17.96305056,2,1,3,7,4,10,11,9,5,5,11,8,정의
1100,서울특별시,1105,광진구,광장동,광장동,서울특별시_광진구_광장동,1105063,24208,19394,7687,11008,490,6,36,4,5,3,10,4,3,1,19257,137,4814,39.91795191,57.16362881,2.544529262,0.031157501,0.186945007,0.020771667,0.025964584,0.015578751,0.051929169,0.020771667,0.015578751,0.005192917,18.33554223,2,1,3,6,4,8,7,10,5,8,10,12,정의
1100,서울특별시,1105,광진구,구의제1동,구의1동,서울특별시_광진구_구의1동,1105060,18672,13974,6834,6394,455,7,96,6,3,5,11,8,4,5,13828,146,4698,49.4214637,46.23951403,3.290425224,0.050621927,0.694243564,0.043390223,0.021695111,0.036158519,0.079548742,0.05785363,0.028926815,0.036158519,17.69785136,1,2,3,7,4,8,12,9,5,6,11,9,정의
1100,서울특별시,1105,광진구,구의제2동,구의2동,서울특별시_광진구_구의2동,1105061,20422,15377,7679,6977,435,9,87,3,4,1,16,14,1,5,15231,146,5045,50.41691288,45.8078918,2.856017333,0.059090014,0.571203467,0.019696671,0.026262228,0.006565557,0.105048913,0.091917799,0.006565557,0.032827785,17.83115964,1,2,3,7,4,10,9,11,5,6,11,8,정의
1100,서울특별시,1105,광진구,구의제3동,구의3동,서울특별시_광진구_구의3동,1105062,22047,17486,7030,9721,481,9,60,4,0,7,10,6,3,7,17338,148,4561,40.54677587,56.06759719,2.774253086,0.051909101,0.346060676,0.023070712,0,0.040373746,0.057676779,0.034606068,0.017303034,0.040373746,18.17074274,2,1,3,6,4,10,12,7,5,9,11,7,정의
1100,서울특별시,1105,광진구,군자동,군자동,서울특별시_광진구_군자동,1105054,15611,11347,5410,5245,384,14,88,1,1,2,14,9,3,2,11173,174,4264,48.42029893,46.94352457,3.436856708,0.125302067,0.787612996,0.008950148,0.008950148,0.017900295,0.125302067,0.080551329,0.026850443,0.017900295,17.6242216,1,2,3,5,4,11,11,9,5,7,8,9,정의
1100,서울특별시,1105,광진구,능동,능동,서울특별시_광진구_능동,1105059,9582,7416,3601,3391,269,8,40,4,0,2,10,4,1,4,7334,82,2166,49.10008181,46.23670575,3.667848377,0.109080993,0.545404963,0.054540496,0,0.027270248,0.136351241,0.054540496,0.013635124,0.054540496,17.62835921,1,2,3,6,4,7,12,10,5,7,11,7,정의
